,Excel Name,Customer,Deal Machine ID,PO Number,Item Number,Date,PNs,Descriptions,Quantity,Spare PNs,Spares Description,Workscope,Material,Material - Note,Bought Out,Bought Out - Note,Sub-Con,Sub-Con - Note,Machining,Machining - Note,Fabrication,Fabrication - Note,Test & Assy,Test & Assy - Note,Margin,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Total Unit Sell - Spares,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Unit Cost
10,Apache FCM EUK 1677678 WG Tree Rev 2.xlsx,Apache,,UK,2,2017-06-19,397970,"['TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD\nY-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE \nINCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ']",2,[],[],"TREE ASSY,WG,13-5/8 3M FE X 7-3M STD TBG BNT W/CIW (MCEVOY) HGR PREP,7-3M 2200PE FE W/PNEUMATIC PISTON ACT MASTER VLV W/LWR FLG SBL SEAL,7-3M STDD
Y-TEE SINGLE 45 DEG OUTLET,7-3M 2200T FE HWO SWAB AND INJECTION VLVS,7-3M BLIND FLG W/NEEDLE VLV AND PRS GAUGE,6A LU EE-0,5 PSL2 PR2,WETTED SURFACE 
INCONEL 625 CLAD,APACHE FORTIES FIELD INJECTOR TREE ",,,146924.044,,,,,,,,,,0.211787687547774,186401.6099201764,372803.2198403528,0.0,0.0,186401.6099201764,372803.2198403528,146924.04400000002
11,Apache FCM EUK 1681050 Casing hanger Rev 01 PV.xlsx,Apache,,UK,1,2017-06-29,A930748-1REF,"['CASING HGR, ASSY, CWC-BW, 13 3/8 X 9 5/8, 9 5/8 -47LB/FT VAM TOP BOX BOTTOM X \n9.790-6TPI-LH-MCA BOX TOP.\n\nINCLUDES ENGINEERING TO REPLACE NEW VAM WITH VAM TOP THREAD. PRICING BASED ON QUANTITIES QUOTED']",2,[],[],"CASING HGR, ASSY, CWC-BW, 13 3/8 X 9 5/8, 9 5/8 -47LB/FT VAM TOP BOX BOTTOM X 
9.790-6TPI-LH-MCA BOX TOP.

INCLUDES ENGINEERING TO REPLACE NEW VAM WITH VAM TOP THREAD. PRICING BASED ON QUANTITIES QUOTED",,,4864.98402598419,,,,,,,,,,0.4308628893965066,8548.0000079867,17096.0000159734,0.0,0.0,8548.0000079867,17096.0000159734,4864.984025984189
12,Apache FCM EUK 1681050 Casing hanger Rev 02.xlsx,Apache,,UK,1,2017-08-23,A930748-1REF,"['CASING HGR, ASSY, CWC-BW, 13 3/8 X 9 5/8, 9 5/8 -47LB/FT VAM TOP BOX BOTTOM X \n9.790-6TPI-LH-MCA BOX TOP.\n\nINCLUDES ENGINEERING TO REPLACE NEW VAM WITH VAM TOP THREAD. PRICING BASED ON QUANTITIES QUOTED']",2,[],[],"CASING HGR, ASSY, CWC-BW, 13 3/8 X 9 5/8, 9 5/8 -47LB/FT VAM TOP BOX BOTTOM X 
9.790-6TPI-LH-MCA BOX TOP.

INCLUDES ENGINEERING TO REPLACE NEW VAM WITH VAM TOP THREAD. PRICING BASED ON QUANTITIES QUOTED",,,4646.608484375,,,,,,,,,,0.4564098267098979,8547.99941700787,17095.99883401574,0.0,0.0,8547.99941700787,17095.99883401574,4646.6084843749995
13,Apache FCM EUK 1683640 Rev 01 PV.xlsx,Apache,,UK,1,2017-06-29,A130978-1REF,"['Tubing Bonnet Assembly, 13-5/8"" 5,000psi Studded Btm w/ API 6BX-160 Ring Groove x 11"" 3,000psi Studded Top w/ API 6BX-158 Ring Groove, arranged w/ 2 off C-73 Control Line Exit Ports\nPSL 3, Temperature Class \'U\', Material Class BB, with Alloy 625 Cladding Sealing surfaces and on a flow wetted surfaces of 5"" Bore\n\nENGINEERING INCLUDED AND PRICES ARE BASED ON THE QUANTITIES QUOTED']",3,[],[],"Tubing Bonnet Assembly, 13-5/8"" 5,000psi Studded Btm w/ API 6BX-160 Ring Groove x 11"" 3,000psi Studded Top w/ API 6BX-158 Ring Groove, arranged w/ 2 off C-73 Control Line Exit Ports
PSL 3, Temperature Class 'U', Material Class BB, with Alloy 625 Cladding Sealing surfaces and on a flow wetted surfaces of 5"" Bore

ENGINEERING INCLUDED AND PRICES ARE BASED ON THE QUANTITIES QUOTED",,,13562.43053925022,,,,,,,,,,0.2741059372201918,18683.76011688668,56051.28035066003,0.0,0.0,18683.76011688668,56051.28035066003,13562.430539250217
14,Apache FCM EUK 1683640 Rev 01 PV.xlsx,Apache,,UK,2,2017-06-29,A130980-1REF,"['SEAL, D,5"" BORE,  DOUBLE TAPERED, Alloy 718 w/ Xylan Coated']",3,[],[],"SEAL, D,5"" BORE,  DOUBLE TAPERED, Alloy 718 w/ Xylan Coated",,,1601.925334585583,,,,,,,,,,0.3278907717904051,2383.430054744061,7150.290164232182,0.0,0.0,2383.430054744061,7150.290164232182,1601.9253345855834
15,Apache FCM EUK 1683640 Rev 0 ANNA.xlsx,Apache,,UK,1,2017-04-27,A130978-1REF,"['Tubing Bonnet Assembly, 13-5/8"" 5,000psi Studded Btm w/ API 6BX-160 Ring Groove x 11"" 3,000psi Studded Top w/ API 6BX-158 Ring Groove, arranged w/ 2 off C-73 Control Line Exit Ports\nPSL 3, Temperature Class \'U\', Material Class BB, with Alloy 625 Cladding Sealing surfaces and on a flow wetted surfaces of 5"" Bore\n\nENGINEERING INCLUDED AND PRICES ARE BASED ON THE QUANTITIES QUOTED']",3,[],[],"Tubing Bonnet Assembly, 13-5/8"" 5,000psi Studded Btm w/ API 6BX-160 Ring Groove x 11"" 3,000psi Studded Top w/ API 6BX-158 Ring Groove, arranged w/ 2 off C-73 Control Line Exit Ports
PSL 3, Temperature Class 'U', Material Class BB, with Alloy 625 Cladding Sealing surfaces and on a flow wetted surfaces of 5"" Bore

ENGINEERING INCLUDED AND PRICES ARE BASED ON THE QUANTITIES QUOTED",,,13495.29864675688,,,,,,,,,,0.2776989936343366,18683.75999454847,56051.27998364541,0.0,0.0,18683.75999454847,56051.27998364541,13495.29864675688
16,Apache FCM EUK 1683640 Rev 0 ANNA.xlsx,Apache,,UK,2,2017-04-27,A130980-1REF,"['SEAL, D,5"" BORE,  DOUBLE TAPERED, Alloy 718 w/ Xylan Coated']",3,[],[],"SEAL, D,5"" BORE,  DOUBLE TAPERED, Alloy 718 w/ Xylan Coated",,,1549.230051329911,,,,,,,,,,0.35,2383.430848199863,7150.29254459959,0.0,0.0,2383.430848199863,7150.29254459959,1549.2300513299108
17,Apache FCM EUK 1701290 sleeves Rev 00.xlsx,Apache,,UK,1,2017-05-30,A944697-1,"['PROTECTOR SWE, ASSY, VR TYPE BLAST SLEEVE, \n2-1/16"", 1-1/4"" SHARP EU THREAD, 1-1/8"" BORE.']",6,[],[],"PROTECTOR SWE, ASSY, VR TYPE BLAST SLEEVE, 
2-1/16"", 1-1/4"" SHARP EU THREAD, 1-1/8"" BORE.",,,324.5456821705426,,,,,,,,,,0.5,649.0913643410852,3894.548186046511,0.0,0.0,649.0913643410852,3894.548186046511,324.5456821705426
18,Apache EUK 1706951 FCM Valve Rev 00.xlsx,Apache,,UK,1,2017-06-28,397805,"['VLV,WG,2200T,7-1/16 3M FE EE-0,5 (6A LU EE-0,5 PSL2 PR2) W/BALL SCREW HWO,DBL BNT, \n4130 CLAD 625 BDY/BNT,17-4PH HFTC SEAT/GATE, 17-4PH STEM, ALUMINUM METALLIC COATING ']",1,[],[],"VLV,WG,2200T,7-1/16 3M FE EE-0,5 (6A LU EE-0,5 PSL2 PR2) W/BALL SCREW HWO,DBL BNT, 
4130 CLAD 625 BDY/BNT,17-4PH HFTC SEAT/GATE, 17-4PH STEM, ALUMINUM METALLIC COATING ",,,31142.71872,,1131.58,,856.4247647999999,,25,,,,0.27,45418.79929424658,45418.79929424658,0.0,0.0,45418.79929424658,45418.79929424658,33155.7234848
19,Apache FCM EUK 1707460 valves Rev 00.xlsx,Apache,,UK,1,2017-06-13,162260,"['VALVE,GRAYGATE MANUAL, 2-1/16 -5M, 2-1/16 -5M API FLANGED ENDS, D TRIM, 5000 PSI MWP, MODEL D']",4,[],[],"VALVE,GRAYGATE MANUAL, 2-1/16 -5M, 2-1/16 -5M API FLANGED ENDS, D TRIM, 5000 PSI MWP, MODEL D",,,6219.387795275591,,,,,,,,,,0.27,8519.7093085967,34078.8372343868,0.0,0.0,8519.7093085967,34078.8372343868,6219.387795275591
20,Apache FCM EUK 1707460 valves Rev 00.xlsx,Apache,,UK,1,2017-06-13,162260,"['VALVE,GRAYGATE MANUAL, 2-1/16 -5M, 2-1/16 -5M API FLANGED ENDS, D TRIM, 5000 PSI MWP, MODEL D']",4,[],[],"VALVE,GRAYGATE MANUAL, 2-1/16 -5M, 2-1/16 -5M API FLANGED ENDS, D TRIM, 5000 PSI MWP, MODEL D",,,6219.387795275591,,,,,,,,,,0.27,8519.7093085967,34078.8372343868,0.0,0.0,8519.7093085967,34078.8372343868,6219.387795275591
21,EUK 1717528 - Apache - CM  -Rev 00.xlsx,Apache,,UK,1,2017-08-29,397765,"['BNT F/ACT ASSY,2200PE,7-1/16 3M FE,WG-P2607 ACT, 3.500 DIA STEM, 4R PKG, TS 7.75,EE-0,5 (6AV LU EE-0,5 PSL2 PR2) CLAD 625 BNT ']",1,[],[],"BNT F/ACT ASSY,2200PE,7-1/16 3M FE,WG-P2607 ACT, 3.500 DIA STEM, 4R PKG, TS 7.75,EE-0,5 (6AV LU EE-0,5 PSL2 PR2) CLAD 625 BNT ",,,15908,,,,75,,,,,,0.3,22832.85714285714,22832.85714285714,0.0,0.0,22832.85714285714,22832.85714285714,15982.999999999998
22,EUK 1717528 - Apache - CM  -Rev 00.xlsx,Apache,,UK,2,2017-08-29,382900,"['ACT,WG,PISTON,P2607 ACT,7-1/16 3M,2200PE,150 PSI WP,TS 7.75,W/RELIEF VLV 6A-P-AA PR2 ']",1,[],[],"ACT,WG,PISTON,P2607 ACT,7-1/16 3M,2200PE,150 PSI WP,TS 7.75,W/RELIEF VLV 6A-P-AA PR2 ",,,15595.76454091222,,380.8485700890764,,,,25,,,,0.3,22859.44730143042,22859.44730143042,0.0,0.0,22859.44730143042,22859.44730143042,16001.613111001294
32,Apache FCM EUK 1722521 NHR Trees Rev 0.xlsx,Apache,,UK,3,2017-11-01,A242286-1REF,"['TREE, GRAYGATE, 2-1-2, 5-1/8 5M, D, HH TRIM, S137 \nBTM U/MSTR C/W RHA-60WLS AT 180 DEG TO MANUAL LWR \nMSTR AND SWAB, ONE 2-1/16 5M AND 4-1/16 5M WINGS \nC/W RHA AT 90 DEG, OTIS TREE CAP, FULLY CLAD ']",1,[],[],"TREE, GRAYGATE, 2-1-2, 5-1/8 5M, D, HH TRIM, S137 
BTM U/MSTR C/W RHA-60WLS AT 180 DEG TO MANUAL LWR 
MSTR AND SWAB, ONE 2-1/16 5M AND 4-1/16 5M WINGS 
C/W RHA AT 90 DEG, OTIS TREE CAP, FULLY CLAD ",,,212790.4878762759,,5196.343713938658,,7350,,4723.948830853325,,500,,0.3859539576412574,375478.0008603458,375478.0008603458,0.0,0.0,375478.0008603458,375478.0008603458,230560.78042106787
35,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,,UK,1,2018-01-18,A292404-1,"['SWE TREE, 5-1/8 X 2-1/16 3M, 11 3M BTM AND TOP,\n5-1/8 3M 2200E LOWER MASTER, 5-1/8 3M 2200 \nACTUATED UPPER MASTER AND 5-1/8 3M 2200T SWAB \nVALVE, 2-1/16 3M 2000WRC LWR, 2-1/16 3M 2200 \nACTUATED UPPER MASTER AND 2-1/16 3M 2200T SWAB \nVALVES, 5-1/8 3M 2200 ACTUATED PRODUCTION VALVE \nAT45 DEG AND 3-1/8 3M 2200T KILL WING VALVE AT 45 \nDEG, 2-1/16 3M 2200T AT 45 DEG INJECTION VALVE \nAND2-1/16 3M 2200T KILL WING VALVE AT 45 DEG \nPU EE-0.5 PSL 3 PR 2']",1,[],[],"SWE TREE, 5-1/8 X 2-1/16 3M, 11 3M BTM AND TOP,
5-1/8 3M 2200E LOWER MASTER, 5-1/8 3M 2200 
ACTUATED UPPER MASTER AND 5-1/8 3M 2200T SWAB 
VALVE, 2-1/16 3M 2000WRC LWR, 2-1/16 3M 2200 
ACTUATED UPPER MASTER AND 2-1/16 3M 2200T SWAB 
VALVES, 5-1/8 3M 2200 ACTUATED PRODUCTION VALVE 
AT45 DEG AND 3-1/8 3M 2200T KILL WING VALVE AT 45 
DEG, 2-1/16 3M 2200T AT 45 DEG INJECTION VALVE 
AND2-1/16 3M 2200T KILL WING VALVE AT 45 DEG 
PU EE-0.5 PSL 3 PR 2",,,222149.4221494221,,,,,,,,,,0.2215181079451145,285362.3500002488,285362.3500002488,0.0,0.0,285362.3500002488,285362.3500002488,222149.42214942214
36,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,,UK,1.1,2018-01-18,A292404-1,"['SWE TREE, 5-1/8 X 2-1/16 3M, 11 3M BTM AND TOP,\n5-1/8 3M 2200E LOWER MASTER, 5-1/8 3M 2200 \nACTUATED UPPER MASTER AND 5-1/8 3M 2200T SWAB \nVALVE, 2-1/16 3M 2000WRC LWR, 2-1/16 3M 2200 \nACTUATED UPPER MASTER AND 2-1/16 3M 2200T SWAB \nVALVES, 5-1/8 3M 2200 ACTUATED PRODUCTION VALVE \nAT45 DEG AND 3-1/8 3M 2200T KILL WING VALVE AT 45 \nDEG, 2-1/16 3M 2200T AT 45 DEG INJECTION VALVE \nAND2-1/16 3M 2200T KILL WING VALVE AT 45 DEG\nPU EE-0.5 PSL 3 PR 2 ']",2,[],[],"SWE TREE, 5-1/8 X 2-1/16 3M, 11 3M BTM AND TOP,
5-1/8 3M 2200E LOWER MASTER, 5-1/8 3M 2200 
ACTUATED UPPER MASTER AND 5-1/8 3M 2200T SWAB 
VALVE, 2-1/16 3M 2000WRC LWR, 2-1/16 3M 2200 
ACTUATED UPPER MASTER AND 2-1/16 3M 2200T SWAB 
VALVES, 5-1/8 3M 2200 ACTUATED PRODUCTION VALVE 
AT45 DEG AND 3-1/8 3M 2200T KILL WING VALVE AT 45 
DEG, 2-1/16 3M 2200T AT 45 DEG INJECTION VALVE 
AND2-1/16 3M 2200T KILL WING VALVE AT 45 DEG
PU EE-0.5 PSL 3 PR 2 ",,,222149.4221494221,,,,,,,,,,0.2215181079451143,285362.3500002487,570724.7000004974,0.0,0.0,285362.3500002487,570724.7000004974,222149.4221494221
37,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,,UK,1.2,2018-01-18,A292404-1,"['SWE TREE, 5-1/8 X 2-1/16 3M, 11 3M BTM AND TOP,\n5-1/8 3M 2200E LOWER MASTER, 5-1/8 3M 2200 \nACTUATED UPPER MASTER AND 5-1/8 3M 2200T SWAB \nVALVE, 2-1/16 3M 2000WRC LWR, 2-1/16 3M 2200 \nACTUATED UPPER MASTER AND 2-1/16 3M 2200T SWAB \nVALVES, 5-1/8 3M 2200 ACTUATED PRODUCTION VALVE \nAT45 DEG AND 3-1/8 3M 2200T KILL WING VALVE AT 45 \nDEG, 2-1/16 3M 2200T AT 45 DEG INJECTION VALVE \nAND2-1/16 3M 2200T KILL WING VALVE AT 45 DEG \nPU EE-0.5 PSL 3 PR 2']",5,[],[],"SWE TREE, 5-1/8 X 2-1/16 3M, 11 3M BTM AND TOP,
5-1/8 3M 2200E LOWER MASTER, 5-1/8 3M 2200 
ACTUATED UPPER MASTER AND 5-1/8 3M 2200T SWAB 
VALVE, 2-1/16 3M 2000WRC LWR, 2-1/16 3M 2200 
ACTUATED UPPER MASTER AND 2-1/16 3M 2200T SWAB 
VALVES, 5-1/8 3M 2200 ACTUATED PRODUCTION VALVE 
AT45 DEG AND 3-1/8 3M 2200T KILL WING VALVE AT 45 
DEG, 2-1/16 3M 2200T AT 45 DEG INJECTION VALVE 
AND2-1/16 3M 2200T KILL WING VALVE AT 45 DEG 
PU EE-0.5 PSL 3 PR 2",,,188493.5440490996,,,,,,,,,,0.2892206255966203,265192.7599999915,1325963.799999957,0.0,0.0,265192.7599999915,1325963.799999957,188493.54404909958
38,Apache FCM EUK 1722521 Trees Rev 0.xlsx,Apache,,UK,2,2018-01-18,398594,"['TREE ASSY,WG,DUAL,2200,11 3M STDD TOP AND BTM \n5-1/8"" 5M X 2-1/16"" 5M 5.50 CTRS,STUDDED BTM \nW/DEEP FACED RX RING GROOVE AND PREPPED W/MCEVOY \n7.00 INCH AND 3.25 INCH WGPC PACKOFF NIPPLE, \nSTUDDED TOP PREPPED W/MCEVOY 6-3/4 INCH AND 3.00 \nINCH SEAL POCKETS,EE-0,5,5-1/8 3M LM MANUAL 2200E \nSPLIT GATE,UM 2200 ACTUATED W/P18 PISTON ACT AND \n2200T MANUAL CROWN AND PRODUCTION WING;2-1/16 3M \nMANUAL 2000WRC SPLIT GATE, UM 2200 ACTUATED W/P13 \nPISTON ACT AND 2200T MANUAL CROWN AND PRODUCTION \nWING PISTON ACT AND MANUAL SWAB; 3-1/8 3M MANUAL \n2200 PRODUCTION KILL WING, EE-0,5 (TEMP CLASS U) \nPSL3 WITH BDY 4130 CLAD 625 SEAT POCKETS AND RING \nGROOVES,BONNETS 4130 CLAD 625 PKG BOX AND BNT SEAL\nAREA ']",1,[],[],"TREE ASSY,WG,DUAL,2200,11 3M STDD TOP AND BTM 
5-1/8"" 5M X 2-1/16"" 5M 5.50 CTRS,STUDDED BTM 
W/DEEP FACED RX RING GROOVE AND PREPPED W/MCEVOY 
7.00 INCH AND 3.25 INCH WGPC PACKOFF NIPPLE, 
STUDDED TOP PREPPED W/MCEVOY 6-3/4 INCH AND 3.00 
INCH SEAL POCKETS,EE-0,5,5-1/8 3M LM MANUAL 2200E 
SPLIT GATE,UM 2200 ACTUATED W/P18 PISTON ACT AND 
2200T MANUAL CROWN AND PRODUCTION WING;2-1/16 3M 
MANUAL 2000WRC SPLIT GATE, UM 2200 ACTUATED W/P13 
PISTON ACT AND 2200T MANUAL CROWN AND PRODUCTION 
WING PISTON ACT AND MANUAL SWAB; 3-1/8 3M MANUAL 
2200 PRODUCTION KILL WING, EE-0,5 (TEMP CLASS U) 
PSL3 WITH BDY 4130 CLAD 625 SEAT POCKETS AND RING 
GROOVES,BONNETS 4130 CLAD 625 PKG BOX AND BNT SEAL
AREA ",,,141590.7489981564,,,,,,,,,,0.32,208221.6897031711,208221.6897031711,0.0,0.0,208221.6897031711,208221.6897031711,141590.74899815634
